MpCodigo;MpNombre;MpArea;MpCategor;SHAPE_Leng;SHAPE_Area;MpAltitud;Depto;Poblacion;Longitud;Latitud
52260;El Tambo;246,5473063;1;90154,95435;246547306,3;2200;Nari§o;14695;-77,3829433;1,430157069
20787;Tamalameque;512,4703639;1;113838,0909;512470363,9;32;Cesar;14672;-73,7633554;8,902094287
70473;Morroa;170,164733;1;73818,2562;170164733;160;Sucre;14667;-75,3271529;9,392406333
76823;Toro;175,7556419;1;73129,2116;175755641,9;958;Valle del Cauca;14664;-76,0810635;4,638426057
13074;Barranco De Loba;430,2096793;1;175387,306;430209679,3;25;Bol°var;14590;-74,1627148;8,836184674
25572;Puerto Salgar;515,252722;1;146782,964;515252722;176;Cundinamarca;14560;-74,5801578;5,619815486
25322;Guasca;360,0842566;1;104387,7039;360084256,6;2650;Cundinamarca;14552;-73,8464347;4,801276826
86749;Sibundoy;97,79085127;1;56572,63956;97790851,27;2137;Putumayo;14502;-76,9130737;1,228748147
73671;Salda§a;193,1056293;1;90412,83205;193105629,3;311;Tolima;14487;-75,0185976;3,912542795
68572;Puente Nacional;251,2989767;1;83581,26614;251298976,7;1625;Santander;14477;-73,6784181;5,831129905
5364;Jard°n;201,1409301;1;79274,28806;201140930,1;1750;Antioquia;14410;-75,8184257;5,574444338
20295;Gamarra;326,4265547;1;109411,9798;326426554,7;43;Cesar;14392;-73,7064954;8,337726511
5585;Puerto Nare;668,7306706;1;164735,2792;668730670,6;131;Antioquia;14368;-74,7031771;6,126538762
13222;Clemencia;85,33375662;1;77261,31259;85333756,62;62;Bol°var;14246;-75,3144683;10,55663719
52258;El Tabl¢n;307,11094;1;92484,19048;307110940;1025;Nari§o;14204;-76,9852695;1,409430208
13673;Santa Catalina;172,7383786;1;115622,7607;172738378,6;33;Bol°var;14162;-75,2654756;10,64984795
76020;Alcal†;62,33610448;1;54447,22063;62336104,48;1220;Valle del Cauca;14125;-75,7829827;4,678893096
52520;Francisco Pizarro;526,082782;1;176885,2895;526082782;1;Nari§o;13969;-78,5919287;2,088533397
50318;Guamal;594,9197738;1;159793,392;594919773,8;521;Meta;13824;-73,9598372;3,947774658
27006;Acand°;798,5282841;1;200791,3906;798528284,1;6;Choc¢;13754;-77,2896964;8,434198497
50150;Castilla La Nueva;513,8655025;1;149448,1056;513865502,5;400;Meta;13745;-73,5388666;3,805154123
5368;Jeric¢;204,9712332;1;82218,54011;204971233,2;1975;Antioquia;13726;-75,7648825;5,769820535
68418;Los Santos;289,5825651;1;72642,49161;289582565,1;1295;Santander;13705;-73,1078501;6,812163324
5480;Mutat†;1075,265866;1;183627,5565;1075265866;132;Antioquia;13699;-76,4630265;7,329540567
5854;Valdivia;567,4816616;1;169213,6705;567481661,6;1064;Antioquia;13684;-75,400945;7,265404212
52207;Consac†;119,4707824;1;51733,02815;119470782,4;1675;Nari§o;13673;-77,4406392;1,209066732
19760;Sotar†;516,1655936;1;160195,228;516165593,6;2450;Cauca;13673;-76,6114663;2,231820542
70523;Palmito;174,5954591;1;73640,28715;174595459,1;40;Sucre;13584;-75,5619822;9,334929406
41548;Pital;193,6432508;1;104651,7573;193643250,8;918;Huila;13578;-75,8319516;2,259601765
73678;San Luis;411,9965858;1;172987,3405;411996585,8;475;Tolima;13562;-75,1124477;4,128617077
